# BEAST v1.7.1, r4860
# Generated Wed Apr 25 19:32:26 BST 2012 [seed=1335378741415]
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	clock.rate	treeLikelihood	coalescent
0	-166206.4633000521	321.8456149099769	-166528.30891496208	0.2	0.2	1.0	-166528.30891496208	320.2361769975428
1000	-108389.62825162921	-6020.013581129124	-102369.61467050009	7.052416362394584	1.7463950894995512	1.0	-102369.61467050009	-6019.456027414659
2000	-84140.18809080763	-4444.6954043972055	-79695.49268641042	186.86295500316723	115.02147498158114	1.0	-79695.49268641042	-4439.950285547306
3000	-81793.2170100265	-4399.934166098559	-77393.28284392795	211.05213860208522	198.11547601473822	1.0	-77393.28284392795	-4394.6453160256715
4000	-80356.57894694648	-4418.6279528905325	-75937.95099405595	201.99396200256155	219.41784826157988	1.0	-75937.95099405595	-4413.236974995674
5000	-79013.07006668262	-4393.2330110366	-74619.83705564601	444.37428476147244	203.51213917100867	1.0	-74619.83705564601	-4387.917285381551
6000	-78136.2623092965	-4404.005034443212	-73732.25727485328	462.4353735712555	203.09926987649945	1.0	-73732.25727485328	-4398.691339569529
7000	-77027.4276675809	-4414.451055526819	-72612.97661205407	297.3958445279248	205.7684503928425	1.0	-72612.97661205407	-4409.124304017441
8000	-76108.49227920594	-4396.649247481888	-71711.84303172404	189.24696456951943	205.6114815771708	1.0	-71711.84303172404	-4391.323259105619
9000	-75665.64144609286	-4400.631296985336	-71265.01014910753	122.99129738946682	200.5229598731077	1.0	-71265.01014910753	-4395.330368232063
10000	-74993.83686927073	-4401.913449499107	-70591.92341977163	86.31081314856172	188.82795341006917	1.0	-70591.92341977163	-4396.672613198039
11000	-74364.93867782105	-4402.44860298178	-69962.49007483927	142.58571848106678	209.19814320088943	1.0	-69962.49007483927	-4397.105321125341
12000	-74047.47950701094	-4414.134019276974	-69633.34548773397	415.22910066626406	212.07376650935174	1.0	-69633.34548773397	-4408.777085107591
13000	-73722.9724558611	-4415.264742237301	-69307.70771362381	658.2829415622391	200.10017693586545	1.0	-69307.70771362381	-4409.965924111475
14000	-73236.8033828841	-4426.328357453102	-68810.47502543099	1064.3376085644497	224.15605487540284	1.0	-68810.47502543099	-4420.916014970261
15000	-72887.76306979782	-4425.374410420325	-68462.3886593775	498.5249564591378	205.26306437585885	1.0	-68462.3886593775	-4420.0501180229785
16000	-72623.31167942255	-4419.945437188055	-68203.3662422345	706.5958040070449	215.87955126624314	1.0	-68203.3662422345	-4414.570716568933
17000	-72416.48968158844	-4417.3214208526315	-67999.16826073581	470.1806434393549	210.48125766327476	1.0	-67999.16826073581	-4411.972024240702
18000	-72188.6004857404	-4422.851436230742	-67765.74904950966	601.4034240071226	225.9440853008695	1.0	-67765.74904950966	-4417.4311486722545
19000	-71935.60540004313	-4435.589855448953	-67500.01554459418	683.6375171954135	219.63094699872318	1.0	-67500.01554459418	-4430.197906824845
20000	-71666.87254972289	-4408.612769108761	-67258.25978061413	718.3022224816274	202.706130097758	1.0	-67258.25978061413	-4403.301011813542
21000	-71427.89627305658	-4426.153526316935	-67001.74274673965	208.27837511044888	226.75441035269023	1.0	-67001.74274673965	-4420.729658777842
22000	-71195.88676199596	-4420.373545128846	-66775.51321686711	152.14144154117207	202.02266098438605	1.0	-66775.51321686711	-4415.065165254646
23000	-70997.16563501256	-4403.906820831121	-66593.25881418143	151.33816700667066	204.04154685729148	1.0	-66593.25881418143	-4398.588497196948
24000	-70768.72805196593	-4420.790468540142	-66347.93758342578	475.85215609075584	197.14775063764938	1.0	-66347.93758342578	-4415.506515089279
25000	-70411.04774160637	-4418.224041342949	-65992.82370026341	168.90945951138085	227.38629531655056	1.0	-65992.82370026341	-4412.797391030306
26000	-70270.27404421326	-4426.247463074238	-65844.02658113903	145.2175512633191	215.14851761324323	1.0	-65844.02658113903	-4420.8761345049925
