# BEAST v1.7.1, r4860
# Generated Wed Apr 25 18:31:45 UTC 2012 [seed=1335378693743]
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	clock.rate	treeLikelihood	coalescent
0	-168038.83754769646	385.7250521179545	-168424.5625998144	0.2	0.2	1.0	-168424.5625998144	384.1156142055204
1000	-108524.9831948596	-2398.6937646651168	-106126.28943019448	3.289349261202272	9.29658458499697	1.0	-106126.28943019448	-2396.464117581335
2000	-88667.37505594178	-3648.3829246303935	-85018.99213131139	14.414643431542213	50.67717278000473	1.0	-85018.99213131139	-3644.457449062211
3000	-83656.1044048009	-4410.6219091281555	-79245.48249567275	96.41073183288675	214.47492215162617	1.0	-79245.48249567275	-4405.253716309669
4000	-81586.96468454045	-4415.062861777824	-77171.90182276262	298.78275637790347	195.1421338684343	1.0	-77171.90182276262	-4409.78913359314
5000	-79972.65110492746	-4354.964782399957	-75617.6863225275	152.80686322137333	184.33248361455537	1.0	-75617.6863225275	-4349.748041296799
6000	-78667.80301486865	-4356.40289785935	-74311.4001170093	174.8622684808538	201.9977405969674	1.0	-74311.4001170093	-4351.094641347175
7000	-77420.45257036528	-4344.389701623525	-73076.06286874175	187.5872180274769	176.13693829253046	1.0	-73076.06286874175	-4339.218439872538
8000	-76544.35406722911	-4326.797909828288	-72217.55615740083	111.52524367586607	190.50827232875105	1.0	-72217.55615740083	-4321.548214210366
9000	-75828.60046406713	-4328.952139340169	-71499.64832472696	431.31793896164885	173.53953594599977	1.0	-71499.64832472696	-4323.795733893854
10000	-75029.8596017301	-4324.040537135938	-70705.81906459416	95.07639024250045	167.33288277858526	1.0	-70705.81906459416	-4318.920551997477
11000	-74491.59043195189	-4339.2909922509425	-70152.29943970095	490.54675069045817	184.67244441857983	1.0	-70152.29943970095	-4334.072408565888
12000	-73941.32815386937	-4337.178126725011	-69604.15002714437	340.9490913076608	188.5538424494369	1.0	-69604.15002714437	-4331.938743122572
13000	-73466.464544524	-4337.198622969729	-69129.26592155427	178.0937001363128	185.13702765376345	1.0	-69129.26592155427	-4331.977526728805
14000	-73087.2471923518	-4348.440364445632	-68738.80682790617	261.2884365671725	188.31161515621557	1.0	-68738.80682790617	-4343.202266327558
15000	-72691.98571919935	-4346.9354125488235	-68345.05030665053	142.37285341040973	193.4443595962662	1.0	-68345.05030665053	-4341.670422625009
16000	-72322.40382464556	-4362.193994429107	-67960.20983021645	142.9240588781182	189.12162400638945	1.0	-67960.20983021645	-4356.951604107752
17000	-71992.16429121656	-4364.402744806263	-67627.76154641029	460.77115901130225	199.64159568598413	1.0	-67627.76154641029	-4359.106221068877
18000	-71689.7242906761	-4378.805808691902	-67310.91848198419	680.5283875870535	193.49278658682292	1.0	-67310.91848198419	-4373.540568458748
19000	-71402.3820168952	-4383.216704843529	-67019.16531205167	320.04077712814944	204.74023235682293	1.0	-67019.16531205167	-4377.894962827151
20000	-71058.08909629028	-4368.757780415349	-66689.33131587492	158.53132884934354	187.94073252908547	1.0	-66689.33131587492	-4363.521653754727
21000	-70847.39285005687	-4376.888791011563	-66470.50405904531	108.59426013901732	190.04085235301238	1.0	-66470.50405904531	-4371.64155195013
22000	-70461.6828529473	-4382.609382796515	-66079.07347015079	545.3162657014668	191.76565632364978	1.0	-66079.07347015079	-4377.353108709934
23000	-70222.01814165508	-4386.243323176235	-65835.77481847884	712.4831221145562	208.9426689910692	1.0	-65835.77481847884	-4380.901263272948
24000	-69825.3206698902	-4380.058659169471	-65445.26201072074	427.6193542096913	195.61458890457612	1.0	-65445.26201072074	-4374.78251282925
25000	-69552.25771229925	-4365.88307433341	-65186.37463796585	206.78134187642348	189.88062278281063	1.0	-65186.37463796585	-4360.636678759856
26000	-69422.90944676838	-4377.575797939298	-65045.33364882908	314.9353782210326	197.21232820072393	1.0	-65045.33364882908	-4372.291516982853
27000	-69232.5519544605	-4384.465012461466	-64848.086941999034	572.9989170069524	189.05642411940318	1.0	-64848.086941999034	-4379.222966950647
28000	-69041.4681288115	-4371.9593752729725	-64669.50875353852	780.309278976688	196.6519768434203	1.0	-64669.50875353852	-4366.677939721547
29000	-68868.7199289743	-4368.112355968819	-64500.60757300549	130.77071720852047	202.05810430055777	1.0	-64500.60757300549	-4362.803800667728
30000	-68692.8598946418	-4371.755069787819	-64321.10482485399	162.21154106650482	204.00624816803196	1.0	-64321.10482485399	-4366.436919166169
31000	-68552.3896732503	-4380.183905594424	-64172.20576765588	134.5229574040534	197.52445540025053	1.0	-64172.20576765588	-4374.898043192937
32000	-68411.87732828448	-4363.099900950062	-64048.77742733441	939.1371262046441	197.27916462194207	1.0	-64048.77742733441	-4357.815281145134
33000	-68303.84080426661	-4387.121206294142	-63916.719597972464	352.42952278724107	204.32155766671517	1.0	-63916.719597972464	-4381.801511278225
34000	-68148.25721657129	-4358.839909392006	-63789.41730717928	249.18017903319173	197.9511682342928	1.0	-63789.41730717928	-4353.551889016808
35000	-68057.01844618928	-4374.598091041664	-63682.42035514761	388.02383533562585	206.63389675316378	1.0	-63682.42035514761	-4369.267142428963
36000	-67927.35168671112	-4370.50262285968	-63556.849063851434	294.7042283277434	206.33584989128852	1.0	-63556.849063851434	-4365.173117679173
37000	-67717.03904141404	-4367.781781282305	-63349.25726013174	150.95994650401522	178.90589910384261	1.0	-63349.25726013174	-4362.594921318026
38000	-67559.4694934918	-4343.495296635928	-63215.97419685587	74.81087314585574	190.98389590860327	1.0	-63215.97419685587	-4338.24310752605
39000	-67412.23229557257	-4348.500403467176	-63063.73189210539	251.81356303049213	185.2397064153745	1.0	-63063.73189210539	-4343.278752770452
40000	-67325.15437498037	-4350.686747385161	-62974.4676275952	270.3527537649022	191.40529858537545	1.0	-62974.4676275952	-4345.432354223216
41000	-67202.63589564068	-4353.2189447896	-62849.41695085108	176.2125191338528	188.92037361858263	1.0	-62849.41695085108	-4347.977619166919
42000	-67104.57183593222	-4362.020078434213	-62742.55175749801	144.10481258959243	193.5462690585217	1.0	-62742.55175749801	-4356.754561833745
43000	-66988.44024343172	-4331.891878840344	-62656.54836459137	123.96037791885851	174.41128082026995	1.0	-62656.54836459137	-4326.730462647359
44000	-66842.96487712505	-4343.769046296121	-62499.19583082893	75.54879361017373	190.88394457623934	1.0	-62499.19583082893	-4338.51738067277
45000	-66681.75292701778	-4343.140466746368	-62338.612460271404	121.14689850045714	179.73255924870853	1.0	-62338.612460271404	-4337.948996782297
46000	-66456.67429460298	-4346.959038514201	-62109.71525608878	144.47580823768033	191.66492775909384	1.0	-62109.71525608878	-4341.703289834674
47000	-66325.58775208611	-4338.646210054979	-61986.941542031134	86.34154317295078	195.36592414635882	1.0	-61986.941542031134	-4333.371335720822
48000	-66219.75799008209	-4333.982694326771	-61885.77529575532	333.99726282883046	182.26825915851177	1.0	-61885.77529575532	-4328.777214773474
49000	-66070.0612970941	-4343.885261302343	-61726.17603579175	77.54521826961309	186.81897350144413	1.0	-61726.17603579175	-4338.6551212105
50000	-65912.84277586213	-4326.185090472036	-61586.65768539009	94.68037202670449	188.76134430614795	1.0	-61586.65768539009	-4320.9446069834285
51000	-65814.84420087386	-4348.074777107866	-61466.769423765996	277.58555599981895	177.3446281542691	1.0	-61466.769423765996	-4342.896682216621
52000	-65721.80418379449	-4335.041829931313	-61386.76235386318	160.9463185313101	182.4734927162874	1.0	-61386.76235386318	-4329.83522501423
53000	-65597.24692433877	-4330.276437433835	-61266.97048690494	225.9626223892154	180.42131601598376	1.0	-61266.97048690494	-4325.081142673453
54000	-65544.77484306945	-4340.729842259325	-61204.04500081012	102.60430806467133	189.8723776805715	1.0	-61204.04500081012	-4335.483490109272
55000	-65453.41059809626	-4339.3347155823885	-61114.07588251388	207.41855286258843	184.40218485550622	1.0	-61114.07588251388	-4334.117596422879
56000	-65343.035264496015	-4328.233569908479	-61014.801694587535	270.2543798564396	186.61010738776125	1.0	-61014.801694587535	-4323.004548455468
57000	-65251.94547644659	-4353.0018866924775	-60898.94358975411	633.3537389519114	185.13628087826234	1.0	-60898.94358975411	-4347.780794485199
58000	-65167.01371219563	-4327.978257644653	-60839.035454550976	307.59736567559077	192.61093522042432	1.0	-60839.035454550976	-4322.7175853700555
59000	-65076.465582047844	-4333.88849489374	-60742.5770871541	39.52921531112009	188.35822752139293	1.0	-60742.5770871541	-4328.650149278467
60000	-64944.23469925236	-4312.3216042122995	-60631.91309504006	74.43407829183845	184.359903071053	1.0	-60631.91309504006	-4307.104714370206
61000	-64844.31935875847	-4335.140651138694	-60509.17870761977	47.90996069084349	184.06865301797	1.0	-60509.17870761977	-4329.925342336447
62000	-64713.03526900427	-4321.15180702675	-60391.88346197752	58.01240251203544	177.42775774555344	1.0	-60391.88346197752	-4315.9732434992975
63000	-64671.91941024904	-4327.49164973336	-60344.427760515675	112.50269467523498	178.2609976492055	1.0	-60344.427760515675	-4322.308400978077
64000	-64624.94212897556	-4328.238536555791	-60296.70359241977	272.97143186795194	182.16617263261045	1.0	-60296.70359241977	-4323.033617248836
65000	-64510.71542780845	-4330.48270718901	-60180.23272061944	117.21060927872276	171.67079083917554	1.0	-60180.23272061944	-4325.3371285529975
66000	-64425.518145084796	-4318.129457173112	-60107.38868791168	28.792161097953926	187.3680964617758	1.0	-60107.38868791168	-4312.896382060801
67000	-64350.71948851625	-4320.585827326361	-60030.133661189895	21.264964470644266	179.16311656125023	1.0	-60030.133661189895	-4315.397530669766
68000	-64252.254330744996	-4318.783552272487	-59933.47077847251	67.73287762341802	185.4638073907397	1.0	-59933.47077847251	-4313.560692517882
69000	-64186.67374882362	-4314.773510184415	-59871.9002386392	35.33339029912032	182.06788678198365	1.0	-59871.9002386392	-4309.56913056259
70000	-64050.406148758324	-4318.913861285478	-59731.49228747284	19.918836805281906	182.88942577812958	1.0	-59731.49228747284	-4313.704979545978
71000	-63961.711097470754	-4313.115201153244	-59648.59589631751	12.139783879078598	178.50505053685316	1.0	-59648.59589631751	-4307.930584258101
72000	-63841.58020392596	-4302.052700540138	-59539.52750338582	193.52153491308232	173.96152505302902	1.0	-59539.52750338582	-4296.893866385759
73000	-63801.93129349528	-4305.903910564323	-59496.02738293096	370.99889353717197	174.49071181231315	1.0	-59496.02738293096	-4300.742039051534
74000	-63671.60898018568	-4295.3631530383855	-59376.24582714729	141.46869554838952	174.92467296859178	1.0	-59376.24582714729	-4290.198797597307
75000	-63599.18072061839	-4296.4956510592565	-59302.685069559135	87.83425881925005	175.10424435845914	1.0	-59302.685069559135	-4291.330269580632
76000	-63477.95994092706	-4286.686024807105	-59191.27391611996	156.39470685904467	178.1430953774114	1.0	-59191.27391611996	-4281.503437673158
77000	-63414.73812085035	-4287.85558450909	-59126.88253634126	77.32340319609932	167.161096297725	1.0	-59126.88253634126	-4282.736626513158
78000	-63337.68467731839	-4292.147771976742	-59045.53690534165	63.287452212035696	171.04296337180122	1.0	-59045.53690534165	-4287.005857204008
79000	-63308.34382252736	-4292.405037826569	-59015.93878470079	45.364336242783374	184.98894165020107	1.0	-59015.93878470079	-4287.184741778141
80000	-63186.35112933954	-4275.206744592329	-58911.14438474721	8.079993698677525	164.58701592512656	1.0	-58911.14438474721	-4270.103305189791
81000	-63053.41163130066	-4283.949463694631	-58769.46216760603	3.369066256644538	179.3482079846263	1.0	-58769.46216760603	-4278.760134482425
82000	-62973.46742495951	-4275.909662120251	-58697.557762839264	3.347845375474785	167.9557287333903	1.0	-58697.557762839264	-4270.785961695019
83000	-62917.21497778044	-4288.307606410095	-58628.90737137034	3.3977904335115494	165.50973529109132	1.0	-58628.90737137034	-4283.198576393497
84000	-62821.82500010334	-4284.252684045477	-58537.572316057864	3.4016628321834257	176.48532395857652	1.0	-58537.572316057864	-4279.079446322937
85000	-62771.85888410637	-4284.431613733427	-58487.427270372944	3.4427282282749245	160.03846038358063	1.0	-58487.427270372944	-4279.356199569682
86000	-62707.793466727526	-4278.852386513311	-58428.941080214216	3.590722565436755	174.0115227199774	1.0	-58428.941080214216	-4273.693264993761
87000	-62573.6011373011	-4270.6851036917515	-58302.91603360935	2.150191007440699	177.27041560951585	1.0	-58302.91603360935	-4265.507427353228
88000	-62473.252695793715	-4271.566510106595	-58201.68618568712	2.194965701691197	165.37098701565372	1.0	-58201.68618568712	-4266.458318750422
89000	-62357.603665394214	-4258.211832608059	-58099.391832786154	1.9986469061023056	162.30879134019315	1.0	-58099.391832786154	-4253.122331967783
90000	-62264.61285705575	-4268.133350354157	-57996.47950670159	1.863242871108796	176.84330012085388	1.0	-57996.47950670159	-4262.958086323753
91000	-62197.0198051001	-4278.192860438158	-57918.82694466194	2.0440952502598915	182.0271525901299	1.0	-57918.82694466194	-4272.988704572153
92000	-62040.31674545983	-4251.701889962034	-57788.61485549779	1.8250677125376087	158.8089971902408	1.0	-57788.61485549779	-4246.634187757457
93000	-61924.72513114034	-4260.525949324879	-57664.19918181546	1.7998476407056356	169.54517294258818	1.0	-57664.19918181546	-4255.392829926529
94000	-61793.11050389462	-4259.782688362292	-57533.32781553233	1.9903949066682922	167.60103436004368	1.0	-57533.32781553233	-4254.661102002664
95000	-61657.84536702671	-4243.090466021208	-57414.7549010055	1.7346872947873773	161.57472458070126	1.0	-57414.7549010055	-4238.005498294651
96000	-61555.90990731443	-4242.416841133243	-57313.49306618119	1.8206717160654278	158.89557165883318	1.0	-57313.49306618119	-4237.348593928818
97000	-61448.4852298978	-4249.116462517887	-57199.368767379914	1.9333653845612309	166.35240254014985	1.0	-57199.368767379914	-4244.002354072845
98000	-61361.22474890013	-4228.300069824356	-57132.924679075775	1.8321810543021393	155.8320589615604	1.0	-57132.924679075775	-4223.251290942116
99000	-61306.0178840324	-4241.447169312254	-57064.57071472015	1.7528685379032543	173.13968316415443	1.0	-57064.57071472015	-4236.293070626409
100000	-61283.50094006639	-4238.223466550394	-57045.277473516	1.6165396371817828	164.86399248895657	1.0	-57045.277473516	-4233.118345704351
101000	-61207.293006736145	-4240.293141204014	-56966.99986553213	1.693754107692108	164.7099654559525	1.0	-56966.99986553213	-4235.188955061946
102000	-61025.05774415727	-4228.559846249967	-56796.4978979073	1.7150603945705805	159.1888824878828	1.0	-56796.4978979073	-4223.489754812615
103000	-60893.48427380212	-4239.022996085395	-56654.46127771672	1.6234991786537158	159.21085687668878	1.0	-56654.46127771672	-4233.952766617848
104000	-60772.18149179635	-4243.757752233417	-56528.42373956293	1.632826631427676	158.17418328684514	1.0	-56528.42373956293	-4238.6940553817485
105000	-60640.30249075993	-4226.523160743913	-56413.77933001602	1.638508598250451	157.54007039993127	1.0	-56413.77933001602	-4221.4634809027675
106000	-60574.29230459815	-4227.397552944941	-56346.89475165321	1.618691265297344	158.19188933595748	1.0	-56346.89475165321	-4222.333744159341
107000	-60465.86673029265	-4223.874677271762	-56241.992053020884	1.5937456076343133	151.20613066724886	1.0	-56241.992053020884	-4218.856033262098
108000	-60353.11021644585	-4213.640838102153	-56139.469378343696	1.5693317871743264	154.18331745334297	1.0	-56139.469378343696	-4208.602695834598
109000	-60310.451154113776	-4216.529797740446	-56093.92135637333	1.586249804475087	155.19607672307626	1.0	-56093.92135637333	-4211.485108411863
110000	-60252.81443202025	-4210.061264367157	-56042.75316765309	1.6266873433786935	160.2565064261545	1.0	-56042.75316765309	-4204.984488670457
111000	-60117.55460008305	-4209.669796662303	-55907.88480342075	1.6082511820166907	149.20487006850863	1.0	-55907.88480342075	-4204.664476333856
112000	-60026.386292762654	-4200.24426370571	-55826.142029056944	1.538831481730961	153.99790179877377	1.0	-55826.142029056944	-4195.207324728072
113000	-59937.56599755812	-4201.413877300232	-55736.15212025789	1.554027552918805	153.24154214886573	1.0	-55736.15212025789	-4196.381861916832
114000	-59875.74604085345	-4189.376657656109	-55686.36938319734	1.5078009021440388	150.24375078049414	1.0	-55686.36938319734	-4184.364398675702
115000	-59847.93429176016	-4197.244334047476	-55650.68995771268	1.4704507055458864	152.499664720673	1.0	-55650.68995771268	-4192.217171649983
116000	-59750.28122285039	-4193.303548849627	-55556.977674000766	1.5766895106077736	155.243396972149	1.0	-55556.977674000766	-4188.258554661298
117000	-59616.61858007189	-4184.063550112942	-55432.555029958945	1.5578380717995235	150.0621583727881	1.0	-55432.555029958945	-4179.052500515529
118000	-59554.58830080999	-4187.939713789526	-55366.64858702046	1.753259994679636	148.90264961429784	1.0	-55366.64858702046	-4182.936421055405
119000	-59502.93022824749	-4189.530206872774	-55313.40002137471	1.6334537412336543	145.1332345387494	1.0	-55313.40002137471	-4184.552554693358
120000	-59420.429679988294	-4174.258077428257	-55246.17160256004	1.5431307381774528	153.04040882597045	1.0	-55246.17160256004	-4169.227375431762
121000	-59350.74097660457	-4184.90678144309	-55165.83419516148	1.6319615293420988	148.74947826623247	1.0	-55165.83419516148	-4179.904517906124
