# BEAST v1.7.1, r4860
# Generated Wed Apr 25 17:37:51 BST 2012 [seed=1335371865762]
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	clock.rate	treeLikelihood	coalescent
16000	-74174.87894665782	-4403.792920930513	-69771.0860257273	102.89386506110823	203.37069347400973	1.0	-69771.0860257273	-4398.477890540495
17000	-73717.79171764535	-4402.355072079825	-69315.43664556553	93.12373130142613	196.30480154670627	1.0	-69315.43664556553	-4397.075403518594
18000	-73230.29302944	-4385.617248259142	-68844.67578118086	373.36259946584323	211.04753535973148	1.0	-68844.67578118086	-4380.2651648649735
19000	-72910.70943084235	-4384.796542452014	-68525.91288839035	272.7228006956524	203.67551778130826	1.0	-68525.91288839035	-4379.480014323627
20000	-72616.01679822186	-4390.517423861509	-68225.49937436034	304.549872453031	205.19495377329892	1.0	-68225.49937436034	-4385.1934633402625
21000	-72215.40283929877	-4368.906207416792	-67846.49663188198	176.68884576543425	190.87840908252895	1.0	-67846.49663188198	-4363.654570793125
22000	-71920.94128124631	-4387.3218386584285	-67533.61944258788	214.52571825507226	206.09895348074957	1.0	-67533.61944258788	-4381.993482248271
23000	-71588.89478513694	-4388.193873084998	-67200.70091205195	194.36228455927105	199.89152391149645	1.0	-67200.70091205195	-4382.896098246034
24000	-71269.41752341419	-4371.923723251496	-66897.49380016269	204.71556135426204	204.9391215239171	1.0	-66897.49380016269	-4366.601010284638
25000	-70936.05860382764	-4372.191548252621	-66563.86705557501	169.03056212029784	196.98434893173248	1.0	-66563.86705557501	-4366.908423974086
26000	-70585.03487237182	-4364.177183556083	-66220.85768881574	250.38417112311768	193.1840660392294	1.0	-66220.85768881574	-4358.913540111623
27000	-70382.91415905197	-4362.365722807935	-66020.54843624403	349.5179314779943	195.2738928617278	1.0	-66020.54843624403	-4357.0913196560905
28000	-70137.38887591168	-4352.0323716993025	-65785.35650421238	377.61932318172086	191.14640824157806	1.0	-65785.35650421238	-4346.779332029598
29000	-69933.93736948379	-4371.565511642459	-65562.37185784132	166.91734702197476	202.36514972516753	1.0	-65562.37185784132	-4366.255437905023
30000	-69796.2785215884	-4361.51381967131	-65434.7647019171	489.72445452926047	177.91037148240437	1.0	-65434.7647019171	-4356.332539778829
31000	-69576.7419228926	-4370.414211100155	-65206.32771179245	551.4061025519771	210.34425306338863	1.0	-65206.32771179245	-4365.065465611321
32000	-69392.63266324654	-4381.262468353317	-65011.37019489322	453.8298107512082	212.16699809499985	1.0	-65011.37019489322	-4375.905094661875
33000	-69195.01835053378	-4382.700043566326	-64812.318306967456	263.30093187724435	200.7500802854021	1.0	-64812.318306967456	-4377.397982813572
34000	-69014.64224686242	-4360.18261321075	-64654.45963365167	127.08167986936104	204.54098562852806	1.0	-64654.45963365167	-4354.861844836627
35000	-68770.51164895768	-4364.296293899097	-64406.21535505858	240.590241911749	208.88973205147087	1.0	-64406.21535505858	-4358.954487384201
36000	-68581.67750216344	-4363.111810316599	-64218.565691846845	496.7419361749346	174.65693893135082	1.0	-64218.565691846845	-4357.948986615638
37000	-68442.97744985545	-4364.868940092164	-64078.10850976328	361.4959544640008	175.25641206903094	1.0	-64078.10850976328	-4359.7026899787925
38000	-68307.25627704835	-4358.599522320746	-63948.656754727606	95.76898101987993	186.24025559817736	1.0	-63948.656754727606	-4353.37248478379
39000	-68193.53267887415	-4348.475380542932	-63845.05729833122	169.50188509442467	191.21373734706017	1.0	-63845.05729833122	-4343.221988696846
40000	-68023.1419192493	-4349.7112536126615	-63673.43066563664	235.6417826313751	188.59360935216927	1.0	-63673.43066563664	-4344.471659127701
41000	-67816.54393029073	-4358.448922577294	-63458.09500771344	750.1206818827421	183.2206729407359	1.0	-63458.09500771344	-4353.238231287857
42000	-67725.06318641953	-4370.419167478948	-63354.644018940584	226.78660805462354	190.1440113726467	1.0	-63354.644018940584	-4365.171385739297
43000	-67605.30948596263	-4371.252378389616	-63234.05710757301	226.7864882912132	200.93130318361167	1.0	-63234.05710757301	-4365.949415315181
44000	-67426.14512510553	-4366.813112886093	-63059.332012219435	362.003445913993	184.3156732849939	1.0	-63059.332012219435	-4361.596462982792
45000	-67260.60883725593	-4353.378122251584	-62907.23071500434	297.1811045481316	187.21109236675153	1.0	-62907.23071500434	-4348.1458854351995
46000	-67112.62374633751	-4363.7674951033505	-62748.85625123416	227.12759791199534	187.9241396123869	1.0	-62748.85625123416	-4358.531456734654
47000	-66990.5817921105	-4347.103002770058	-62643.47878934045	605.4437643532016	185.95449392447225	1.0	-62643.47878934045	-4341.877500782598
48000	-66875.0249235786	-4347.344070980278	-62527.68085259832	243.61696373328402	193.39416162214016	1.0	-62527.68085259832	-4342.079340585811
49000	-66771.10448126873	-4348.516134653216	-62422.58834661552	260.95242845331694	181.97128264977945	1.0	-62422.58834661552	-4343.312285766227
50000	-66627.39106436225	-4355.307217391088	-62272.08384697117	1074.6700325488903	200.2492997400549	1.0	-62272.08384697117	-4350.007654302074
51000	-66458.13799626777	-4346.931655850973	-62111.2063404168	241.0762156268478	196.2996389631579	1.0	-62111.2063404168	-4341.652013588901
52000	-66340.788308075	-4338.281165221732	-62002.507142853276	261.97540809615725	189.79844284593307	1.0	-62002.507142853276	-4333.035202539774
53000	-66268.65677873736	-4336.886216134296	-61931.770562603066	226.89938541407395	186.50025899263176	1.0	-61931.770562603066	-4331.657783506513
54000	-66169.74177136221	-4330.611261460538	-61839.13050990167	165.2098471163566	194.19162847833738	1.0	-61839.13050990167	-4325.342416013343
55000	-66094.79969959547	-4331.656434112075	-61763.1432654834	528.3776406432622	180.70181576238588	1.0	-61763.1432654834	-4326.459585866036
56000	-66057.0599324076	-4343.522041838398	-61713.537890569205	392.7186080107865	192.1941167131412	1.0	-61713.537890569205	-4338.263535952564
57000	-65915.82406126763	-4326.21672086655	-61589.607340401075	421.22781998459925	182.01384302828532	1.0	-61589.607340401075	-4321.012638121771
58000	-65820.61786565154	-4325.1419266227285	-61495.475939028816	164.19522795355377	181.95217371541193	1.0	-61495.475939028816	-4319.938182751968
59000	-65695.10872980417	-4336.490660785559	-61358.618069018616	369.38281597377227	164.4991998054339	1.0	-61358.618069018616	-4331.387755079771
60000	-65585.60585141952	-4336.420661907189	-61249.18518951233	245.50473790807663	181.04694722941903	1.0	-61249.18518951233	-4331.221905532598
61000	-65531.33591093819	-4334.342499869744	-61196.99341106845	231.08499359856174	185.2551346827798	1.0	-61196.99341106845	-4329.120765888366
62000	-65437.152573064566	-4325.478761264532	-61111.673811800036	516.1052983398087	186.79714628695504	1.0	-61111.673811800036	-4320.248738015691
63000	-65341.51406939201	-4322.850314389152	-61018.66375500286	268.74247866866415	176.78661045685678	1.0	-61018.66375500286	-4317.675370974526
64000	-65184.291457087726	-4322.928861082372	-60861.362596005354	169.79862244061604	172.9678273817901	1.0	-60861.362596005354	-4317.77575547406
65000	-65069.96998818387	-4319.479135252642	-60750.49085293122	163.11149741829075	168.14878885308616	1.0	-60750.49085293122	-4314.354286017258
66000	-64918.58844495036	-4318.429983699438	-60600.15846125092	210.49461562215288	177.78741237723108	1.0	-60600.15846125092	-4313.249395175393
67000	-64832.19156968519	-4307.764618674854	-60524.42695101033	210.03521284369134	171.2101688395729	1.0	-60524.42695101033	-4302.621726815483
68000	-64723.99997835896	-4295.619104042093	-60428.38087431687	188.0123779338042	172.8894127779619	1.0	-60428.38087431687	-4290.466451884488
69000	-64589.99706510644	-4300.257351116164	-60289.73971399028	289.91964133326786	174.134767387747	1.0	-60289.73971399028	-4295.097521591522
70000	-64484.05967688007	-4302.921372868727	-60181.13830401134	301.3687554647201	180.6529991526245	1.0	-60181.13830401134	-4297.7247948092645
71000	-64318.87881632651	-4293.900324180564	-60024.97849214595	273.9648742583972	179.91826408371315	1.0	-60024.97849214595	-4288.707821521227
72000	-64089.800831307984	-4295.38475992931	-59794.41607137868	432.1710111776386	175.29945042866962	1.0	-59794.41607137868	-4290.218264272421
