# BEAST v1.7.1, r4860
# Generated Thu Apr 26 10:02:32 BST 2012 [seed=1335430952229]
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	clock.rate	treeLikelihood	coalescent
0	-184608.3268906438	885.0404694330634	-185493.36736007687	0.2	0.2	1.0	-185493.36736007687	883.4310315206293
1000	-127889.73053812755	-2136.698976739373	-125753.03156138818	2.2391267574229827	1.0207369043430519	1.0	-125753.03156138818	-2136.6784519176836
2000	-97152.12526509678	-3874.722986293705	-93277.40227880307	17.74799261232552	8.63317933732177	1.0	-93277.40227880307	-3872.567373451203
3000	-83829.43329344752	-4465.121559157225	-79364.3117342903	128.31825723688686	135.70328890549857	1.0	-79364.3117342903	-4460.211088354086
4000	-81781.30547473676	-4393.077932171379	-77388.22754256538	147.49153516943954	200.08849809921077	1.0	-77388.22754256538	-4387.779172412205
5000	-80492.35901442969	-4415.252482306403	-76077.10653212329	320.60304295484946	200.9327380584634	1.0	-76077.10653212329	-4409.949512090872
6000	-79373.38147697867	-4405.269666582006	-74968.11181039666	153.12766066521468	196.2447754155271	1.0	-74968.11181039666	-4399.990303847784
7000	-78455.84719278726	-4396.291401678766	-74059.55579110849	262.272396457746	187.85618737569413	1.0	-74059.55579110849	-4391.055724969436
8000	-77538.01177820632	-4413.606201256168	-73124.40557695014	198.09717007289734	211.34428376929856	1.0	-73124.40557695014	-4408.2527127757985
9000	-76790.17247106873	-4405.718351252948	-72384.45411981578	179.9144674292389	184.68812966321164	1.0	-72384.45411981578	-4400.499682636009
10000	-75967.13134793143	-4394.283474989271	-71572.84787294216	192.87890571906743	200.38447271375384	1.0	-71572.84787294216	-4388.98323710453
11000	-75354.34942160908	-4397.986630228912	-70956.36279138016	243.46445686584002	196.55408484189473	1.0	-70956.36279138016	-4392.705692594549
12000	-74863.10264612104	-4405.817340219702	-70457.28530590134	389.196186679918	207.36073526286046	1.0	-70457.28530590134	-4400.482880260716
13000	-74371.88634913163	-4385.544212386269	-69986.34213674536	552.4770295498752	194.98957104570226	1.0	-69986.34213674536	-4380.271266310952
14000	-73751.85838574554	-4394.1090777937225	-69357.74930795182	326.4046864904237	199.9699836564203	1.0	-69357.74930795182	-4388.810910520156
15000	-73393.9022303564	-4403.418642797232	-68990.48358755917	170.9657065398129	211.74952962495203	1.0	-68990.48358755917	-4398.063238685072
16000	-72997.55606143059	-4413.134596968301	-68584.42146446228	217.08932805581154	197.13820733751322	1.0	-68584.42146446228	-4407.850691925452
17000	-72738.61916231227	-4409.196152373262	-68329.42300993901	390.18007780847853	202.66032841382454	1.0	-68329.42300993901	-4403.884621054726
18000	-72469.43079133997	-4401.998608042904	-68067.43218329706	254.2974399609248	194.66276209809135	1.0	-68067.43218329706	-4396.727339406661
19000	-72188.97054413611	-4406.430215825095	-67782.54032831102	307.01279034093636	210.88862524472663	1.0	-67782.54032831102	-4401.078885673419
20000	-71784.57326132672	-4380.419379068578	-67404.15388225814	385.4809952664794	192.32234588028422	1.0	-67404.15388225814	-4375.160206219509
21000	-71451.23008424963	-4397.511424226411	-67053.71866002322	295.9626423720759	194.7840313425668	1.0	-67053.71866002322	-4392.23953281319
22000	-71182.42880284785	-4394.925808784858	-66787.50299406299	240.58873860678824	206.53237157988775	1.0	-66787.50299406299	-4389.595351621645
23000	-70880.76100090187	-4401.050603110332	-66479.71039779154	1497.0837880418533	198.4302305397874	1.0	-66479.71039779154	-4395.760165555416
24000	-70652.14500843333	-4396.316341391675	-66255.82866704166	669.2927441237639	198.58749065631108	1.0	-66255.82866704166	-4391.02511162968
25000	-70402.44699742195	-4385.371203306159	-66017.0757941158	346.30732402576376	199.33506986290732	1.0	-66017.0757941158	-4380.076216129228
26000	-70186.04084051489	-4400.805688425565	-65785.23515208933	541.2333024093094	211.58021680233782	1.0	-65785.23515208933	-4395.451084223324
27000	-69814.42797802674	-4366.076814552316	-65448.35116347442	853.9166927079092	191.24575510246734	1.0	-65448.35116347442	-4360.823255275399
28000	-69594.77902851447	-4380.533566935764	-65214.24546157871	268.6680855258932	202.42413194681563	1.0	-65214.24546157871	-4375.223201776472
29000	-69448.41229582552	-4376.881082516792	-65071.53121330873	395.8090337908834	190.675246867281	1.0	-65071.53121330873	-4371.6305108140405
30000	-69276.35967975462	-4365.650751185414	-64910.70892856921	330.4574567082448	197.6066087502801	1.0	-64910.70892856921	-4360.364472955567
31000	-69037.66593286247	-4363.263030945044	-64674.40290191743	214.35704883627105	197.8205917602549	1.0	-64674.40290191743	-4357.9756704273295
32000	-68835.43730682803	-4363.598258600165	-64471.839048227856	346.75574724359035	191.67696145379398	1.0	-64471.839048227856	-4358.342447137545
33000	-68564.79258657832	-4369.798495275316	-64194.994091303	248.53965697781683	196.85221736013796	1.0	-64194.994091303	-4364.516041993777
34000	-68414.39048616172	-4380.591936738587	-64033.79854942314	262.56044862382817	209.02176243159693	1.0	-64033.79854942314	-4375.249498365576
35000	-68184.90826171417	-4370.242026297535	-63814.66623541663	165.6172113503526	187.40056857762403	1.0	-63814.66623541663	-4365.008777893703
36000	-67991.71144748353	-4360.685941883267	-63631.025505600264	143.90572508521532	191.00528209226127	1.0	-63631.025505600264	-4355.43364080067
37000	-67782.7421873042	-4355.659253973547	-63427.08293333066	140.81378110605607	173.8594188868233	1.0	-63427.08293333066	-4350.501006938322
38000	-67618.86677202144	-4365.888483033121	-63252.97828898833	201.06340984422326	208.24890519679366	1.0	-63252.97828898833	-4360.549749009246
39000	-67429.85450793123	-4361.019242584563	-63068.83526534667	993.093626555787	193.41411952883402	1.0	-63068.83526534667	-4355.754408997337
40000	-67269.09808111939	-4344.173649111756	-62924.924432007625	446.5427925530047	207.93633204151405	1.0	-62924.924432007625	-4338.836417174866
41000	-67111.45486560605	-4355.304692831978	-62756.150172774076	779.6082822201068	194.5525914562321	1.0	-62756.150172774076	-4350.033990312378
42000	-66997.8467451101	-4347.865620861245	-62649.98112424886	432.1452304906923	180.7499274788551	1.0	-62649.98112424886	-4342.668506401429
43000	-66940.17826345544	-4361.31282706048	-62578.86543639495	319.5248835864611	190.41603771606248	1.0	-62578.86543639495	-4356.063615709968
44000	-66798.10597104991	-4362.302480916556	-62435.80349013336	413.79013237199257	183.32122325047393	1.0	-62435.80349013336	-4357.091240984177
45000	-66682.47577886484	-4356.360369067746	-62326.115409797094	336.045746875562	186.2970364554057	1.0	-62326.115409797094	-4351.133026697644
46000	-66516.14243477605	-4353.956590772887	-62162.185844003165	531.9789346227592	195.47963139417976	1.0	-62162.185844003165	-4348.681134586131
47000	-66430.65314514334	-4354.4357046325595	-62076.21744051078	178.02266008278866	184.3418250200315	1.0	-62076.21744051078	-4349.21891285375
48000	-66266.37013473529	-4363.5463646751505	-61902.823770060146	178.55723586925274	196.80187882766197	1.0	-61902.823770060146	-4358.2641671436895
49000	-66067.2216282507	-4341.27463985297	-61725.946988397736	158.29367417844426	189.08948658899476	1.0	-61725.946988397736	-4336.032419475948
50000	-66014.1328592528	-4346.700904829588	-61667.431954423206	167.08232205290534	181.1761565652186	1.0	-61667.431954423206	-4341.501435030922
51000	-65856.74422922541	-4326.218182032909	-61530.5260471925	197.91058475021327	190.93603630007294	1.0	-61530.5260471925	-4320.966243549431
52000	-65785.38105618958	-4344.854014535508	-61440.52704165407	225.49166719606686	191.24139281134714	1.0	-61440.52704165407	-4339.600478068723
53000	-65664.48835938821	-4346.118225208346	-61318.37013417986	62.64677564727998	189.0333531863797	1.0	-61318.37013417986	-4340.87630173697
54000	-65437.61531269705	-4332.846348031687	-61104.76896466537	28.548987212845972	186.79635775484672	1.0	-61104.76896466537	-4327.616329004182
55000	-65352.683618073796	-4323.1359356488665	-61029.54768242493	65.50162597860607	179.4652241304832	1.0	-61029.54768242493	-4317.945954197143
56000	-65286.812123529424	-4332.693133487398	-60954.11899004203	76.43249880659204	188.67519855707357	1.0	-60954.11899004203	-4327.453106476852
57000	-65226.90903335117	-4333.715535055137	-60893.19349829603	73.50942691550551	182.9366896247444	1.0	-60893.19349829603	-4328.506394920487
58000	-65107.48148315694	-4328.232576626679	-60779.24890653026	76.9254785337998	183.9674686064839	1.0	-60779.24890653026	-4323.017817685753
59000	-64981.613546751156	-4332.815633854491	-60648.79791289666	63.752970248191325	182.82764515810024	1.0	-60648.79791289666	-4327.607089975188
60000	-64903.628461465916	-4321.926779975043	-60581.70168149087	115.4223522603048	184.5361703204737	1.0	-60581.70168149087	-4316.7089344856795
61000	-64807.10773970914	-4325.230285826398	-60481.87745388274	80.68136020871832	171.77940138195507	1.0	-60481.87745388274	-4320.084074722861
62000	-64678.849595868545	-4330.945989650536	-60347.90360621801	26.30895842035199	183.46396983436117	1.0	-60347.90360621801	-4325.733971351997
63000	-64578.12603439625	-4334.911914152065	-60243.214120244185	106.86193566510046	182.29039288026493	1.0	-60243.214120244185	-4329.706313171274
64000	-64468.44311006936	-4310.757713326828	-60157.685396742534	123.80278573228316	176.2398260396739	1.0	-60157.685396742534	-4305.585867611399
65000	-64371.29119880475	-4318.088413073927	-60053.20278573082	236.55703495719087	175.65782922207143	1.0	-60053.20278573082	-4312.9198751233525
66000	-64239.016237804564	-4319.680691227626	-59919.33554657694	138.2495107944423	182.72994555089525	1.0	-59919.33554657694	-4314.472681872086
67000	-64143.19370564412	-4327.458535267443	-59815.735170376676	121.96499925223002	170.8434352594546	1.0	-59815.735170376676	-4322.31778771362
68000	-64077.21004821068	-4307.983400990967	-59769.226647219715	183.72987895054166	172.5859372844669	1.0	-59769.226647219715	-4302.832505691394
69000	-63944.05343472186	-4310.466313549007	-59633.58712117286	64.59960085727761	179.9471070584643	1.0	-59633.58712117286	-4305.273650590974
70000	-63859.61224515394	-4312.051004581454	-59547.56124057249	107.83282562166829	170.87632647327368	1.0	-59547.56124057249	-4306.910064523612
71000	-63799.03512094019	-4305.44230951312	-59493.59281142707	272.4660810262617	187.72495483298343	1.0	-59493.59281142707	-4300.207331627736
72000	-63677.79916243355	-4303.280684405786	-59374.51847802776	218.15330900081358	173.0334667573529	1.0	-59374.51847802776	-4298.127199380532
73000	-63570.110160576085	-4296.701158172518	-59273.40900240357	208.5015739241714	181.95783901861634	1.0	-59273.40900240357	-4291.497383166021
74000	-63465.8888729444	-4299.105435337602	-59166.7834376068	109.61544323609552	170.7180298143303	1.0	-59166.7834376068	-4293.965422090566
75000	-63346.485551506	-4299.848554019713	-59046.63699748628	100.76254286466302	174.42552266077982	1.0	-59046.63699748628	-4294.687056173414
76000	-63240.5656582401	-4297.758389942191	-58942.80726829791	485.9475341591171	180.03564827017556	1.0	-58942.80726829791	-4292.565235064963
77000	-63170.21757533717	-4299.497242594897	-58870.720332742276	217.3563625808685	177.8722552819164	1.0	-58870.720332742276	-4294.316176969207
78000	-63029.32917445582	-4298.028748775517	-58731.3004256803	285.7321190977167	177.21815712674692	1.0	-58731.3004256803	-4292.85136727574
79000	-62906.61996330118	-4288.9721335963395	-58617.64782970484	211.63831459181534	171.83997432083095	1.0	-58617.64782970484	-4283.825569934455
80000	-62723.9164267225	-4279.542744531725	-58444.37368219077	149.3929212852481	167.66296102221492	1.0	-58444.37368219077	-4274.420788751796
81000	-62630.73314807283	-4260.290039400784	-58370.44310867205	78.16746738061137	156.88915111103836	1.0	-58370.44310867205	-4255.234499888681
82000	-62500.579727975986	-4273.454784770648	-58227.12494320534	92.23910485168578	173.35756885976585	1.0	-58227.12494320534	-4268.29942843717
83000	-62413.20335637128	-4269.043302335585	-58144.160054035696	29.582521608646548	171.83673708847377	1.0	-58144.160054035696	-4263.896757512524
84000	-62299.85324921575	-4264.261083873725	-58035.59216534202	30.076817193818126	173.78442926390778	1.0	-58035.59216534202	-4259.103268254873
85000	-62160.05907937182	-4256.075012860306	-57903.98406651152	121.57451552472499	165.72076130574513	1.0	-57903.98406651152	-4250.96470864918
86000	-62070.284431938126	-4259.426035866672	-57810.85839607145	98.64458140260399	160.0167167850544	1.0	-57810.85839607145	-4254.350757576989
87000	-61972.59605333954	-4248.253605350177	-57724.342447989366	100.9054246236466	174.61194658733743	1.0	-57724.342447989366	-4243.091039286504
88000	-61920.88943123295	-4257.543832673869	-57663.345598559084	75.4385054862924	159.0145881892287	1.0	-57663.345598559084	-4252.474836726239
89000	-61868.41056190486	-4257.803660215634	-57610.60690168922	88.42492490824927	162.18947188461797	1.0	-57610.60690168922	-4252.714894984293
90000	-61766.08118041198	-4260.145162586546	-57505.936017825436	287.2850558904109	162.63691570644897	1.0	-57505.936017825436	-4255.0536423813355
91000	-61701.96323501861	-4252.188530094218	-57449.77470492439	425.01170858717677	173.1369704258171	1.0	-57449.77470492439	-4247.034447076412
92000	-61654.89969822669	-4250.042234338213	-57404.857463888475	255.52482227432537	155.7853717226234	1.0	-57404.857463888475	-4244.993755100567
93000	-61605.046789164895	-4255.051165014797	-57349.9956241501	117.98713687935201	158.52500768791094	1.0	-57349.9956241501	-4249.985252656715
94000	-61472.23457208851	-4250.558581272379	-57221.67599081613	110.16964737251844	168.42340533394648	1.0	-57221.67599081613	-4245.432100193685
95000	-61431.80989836476	-4241.951420177266	-57189.85847818749	114.08730761422183	159.85413070046852	1.0	-57189.85847818749	-4236.87715846099
96000	-61332.51438162081	-4237.46029857648	-57095.05408304433	77.56743455087395	170.36088922170052	1.0	-57095.05408304433	-4232.3223795117765
97000	-61280.5715336213	-4229.258310352053	-57051.31322326925	75.56090345787834	164.28291552376766	1.0	-57051.31322326925	-4224.156720315838
98000	-61262.52717711629	-4244.377041507591	-57018.150135608696	108.7018314112576	167.50752642471565	1.0	-57018.150135608696	-4239.256013223456
99000	-61227.15408143759	-4237.974958714254	-56989.17912272333	114.96679202830003	165.24409384931448	1.0	-56989.17912272333	-4232.867534976861
